Abkürzung;Stadt/Landkreis;abgeleitet von;Bundesland
A;Stadt Augsburg (AA–ZZ 100–999 und 5000–9999)*;Augsburg;Bayern
AA;Ostalbkreis;AAlen;Baden-Württemberg
AB;Stadt Aschaffenburg (sonst)*;AschaffenBurg;Bayern
ABG;Landkreis Altenburger Land;AltenBurG;Thüringen
ABI;Landkreis Anhalt-Bitterfeld;Anhalt, BItterfeld;Sachsen-Anhalt
AC;Städteregion Aachen;AaChen;Nordrhein-Westfalen
AE;Vogtlandkreis;AuErbach;Sachsen
AH;Kreis Borken;AHaus;Nordrhein-Westfalen
AIB;Landkreis München (Q 10–9999);AIBling;Bayern
AIC;Landkreis Aichach-Friedberg;AIChach;Bayern
AK;Landkreis Altenkirchen (Westerwald);AltenKirchen;Rheinland-Pfalz
ALF;Landkreis Hildesheim;ALFeld;Niedersachsen
ALZ;Landkreis Aschaffenburg;ALZenau;Bayern
AM;Stadt Amberg;AMberg;Bayern
AN;Stadt Ansbach (sonst)*;ANsbach;Bayern
ANA;Erzgebirgskreis;ANnAberg;Sachsen
ANG;Landkreis Uckermark;ANGermünde;Brandenburg
ANK;Landkreis Vorpommern-Greifswald ohne die Stadt Greifswald;ANKlam;Mecklenburg-Vorpommern
AÖ;Landkreis Altötting;AltÖtting;Bayern
AP;Landkreis Weimarer Land;APolda;Thüringen
APD;Landkreis Weimarer Land;APolDa;Thüringen
ARN;Ilm-Kreis;ARNstadt;Thüringen
ART;Kyffhäuserkreis;ARTern;Thüringen
AS;Landkreis Amberg-Sulzbach;Amberg, Sulzbach;Bayern
ASL;Salzlandkreis;ASchersLeben;Sachsen-Anhalt
ASZ;Erzgebirgskreis;Aue, SchwarZenberg;Sachsen
AT;Landkreis Mecklenburgische Seenplatte ohne die Stadt Neubrandenburg;AltenTreptow;Mecklenburg-Vorpommern
AU;Erzgebirgskreis;AUe;Sachsen
AUR;Landkreis Aurich;AURich;Niedersachsen
AW;Landkreis Ahrweiler;AhrWeiler;Rheinland-Pfalz
AZ;Landkreis Alzey-Worms;AlZey;Rheinland-Pfalz
AZE;Landkreis Anhalt-Bitterfeld;Anhalt-ZErbst;Sachsen-Anhalt
B;Stadt Berlin;Berlin;Berlin
BA;Stadt Bamberg;BAmberg;Bayern
BAD;Stadt Baden-Baden;BADen-Baden;Baden-Württemberg
BAR;Landkreis Barnim;BARnim;Brandenburg
BB;Landkreis Böblingen;BöBlingen;Baden-Württemberg
BBG;Salzlandkreis;BernBurG;Sachsen-Anhalt
BBL;Brandenburg, Landesregierung, Landtag und Polizei[2];BrandenBurgische Landesregierung;Brandenburg
BC;Landkreis Biberach;BiberaCh;Baden-Württemberg
BCH;Neckar-Odenwald-Kreis;BuCHen;Baden-Württemberg
BD;Deutscher Bundestag, Bundesrat, Bundespräsidialamt, Bundesregierung, Bundesministerien, Bundesfinanzverwaltung (z. B. Zoll) und Bundesverfassungsgericht[2];BundesDienst[3];bundesweit
BE;Kreis Warendorf;BEckum;Nordrhein-Westfalen
BED;Landkreis Mittelsachsen;Brand-ErbisDorf;Sachsen
BER;Landkreis Barnim;BERnau;Brandenburg
BF;Kreis Steinfurt;BurgsteinFurt;Nordrhein-Westfalen
BGD;Landkreis Berchtesgadener Land;BerchtesGaDen;Bayern
BGL;Landkreis Berchtesgadener Land;BerchtesGadener Land;Bayern
BH;Ortenaukreis (F 7000–7999, N 8000–8999, O 2000–2999, OF 1–6999, OG 9000–9999, OK 3000–3999 und OP 1–4999);BüHl;Baden-Württemberg
BI;Stadt Bielefeld;BIelefeld;Nordrhein-Westfalen
BID;Landkreis Marburg-Biedenkopf;BIeDenkopf;Hessen
BIN;Landkreis Mainz-Bingen;BINgen;Rheinland-Pfalz
BIR;Landkreis Birkenfeld;BIRkenfeld;Rheinland-Pfalz
BIT;Eifelkreis Bitburg-Prüm;BITburg;Rheinland-Pfalz
BIW;Landkreis Bautzen;BIschofsWerda;Sachsen
BK;Rems-Murr-Kreis (N 1-Z 99 A–Z 1000–9999 und AA–PZ 1–99)*;BacKnang;Baden-Württemberg
BKS;Landkreis Bernkastel-Wittlich;BernKaStel;Rheinland-Pfalz
BL;Zollernalbkreis;BaLingen;Baden-Württemberg
BLB;Kreis Siegen-Wittgenstein;BerLeBurg;Nordrhein-Westfalen
BLK;Burgenlandkreis;BurgenLandKreis;Sachsen-Anhalt
BM;Rhein-Erft-Kreis;BergheiM;Nordrhein-Westfalen
BN;Stadt Bonn;BonN;Nordrhein-Westfalen
BNA;Landkreis Leipzig;BorNA;Sachsen
BO;Stadt Bochum;BOchum;Nordrhein-Westfalen
BÖ;Landkreis Börde;BÖrde;Sachsen-Anhalt
BOG;Landkreis Straubing-Bogen;BOGen;Bayern
BOH;Kreis Borken;BOcHolt;Nordrhein-Westfalen
BOR;Kreis Borken;BORken;Nordrhein-Westfalen
BOT;Stadt Bottrop;BOTtrop;Nordrhein-Westfalen
BP;Bundespolizei;BundesPolizei;bundesweit
BRA;Landkreis Wesermarsch;BRAke;Niedersachsen
BRB;Stadt Brandenburg an der Havel;BRandenBurg;Brandenburg
BRG;Landkreis Jerichower Land;BuRG;Sachsen-Anhalt
